Uploaded Date,Approved Date,Terms,Carrier,MC #,DOT #,Ref. #,Carrier Inv #,Net Amt Due,Pay By,Payment Status,InvoiceKey,PayeeKey,Invoice Draft Id,AppliedToKey
04/26/23,03/27/22,SDQP,Forte Express LLC,968342,2880996,,301-23FE,"$4,600.00 ",ACH *0263,Paid,a134P00000GaC9AQAV,0014P00003lhjzjQAA,200387,
04/26/23,05/06/22,SDQP,Fast Shot Trucking LLC,1158343,3505211,,206RTS,$850.00 ,Wire *5098,Paid,a134P00000FUDTIQA5,0014P00003i1dW1QAI,200387,
04/26/23,05/23/22,SDQP,Fast Shot Trucking LLC,1158343,3505211,,217RTS,"$1,150.00 ",Wire *5098,Paid,a134P00000FUFBdQAP,0014P00003i1dW1QAI,200387,
04/26/23,05/31/22,SDQP,Nabu Trucking LLC,055001,3060593,,3751NA,"$2,900.00 ",ACH *1154,Paid,a134P00000FYWRcQAP,0014P00003pX2oGQAS,200387,
04/26/23,06/06/22,SDQP,Fast Shot Trucking LLC,1158343,3505211,,207RTS,$850.00 ,Wire *5098,Paid,a134P00000FsmANQAZ,0014P00003i1dW1QAI,200387,
04/26/23,08/08/22,SDQP,Trust Delivery LLC,1339830,3762193,,DDL16877T,$425.00 ,ACH *0974,Paid,a134P00000G2OKtQAN,0014P000041ptlXQAQ,200387,
04/26/23,08/24/22,SDQP,"Sanchez Trucking, LLC",937084,2805298,,INV580S,"$1,900.00 ",ACH *7702,Paid,a134P00000GmgKvQAJ,0014P000042LTSIQA4,200387,
04/26/23,08/31/22,SDQP,D&B Trucking LLC,849215,2458502,,01DB,"$1,100.00 ",ACH *0749,Paid,a134P00000GmlLgQAJ,0014P000042UfMIQA0,200387,
04/26/23,10/17/22,SDQP,Eb Empire Inc,1117120,3438689,,20472-20,"$1,125.00 ",ACH *3010,Paid,a134P00000Gn2BGQAZ,0014P000042LTbHQAW,200387,
04/26/23,11/10/22,SDQP,Eb Empire Inc,1117120,3438689,,22165_35,$715.00 ,ACH *3010,Paid,a134P00000Gn9wUQAR,0014P000042LTbHQAW,200387,
04/26/23,11/10/22,SDQP,Eb Empire Inc,1117120,3438689,,22025_34,$800.00 ,ACH *3010,Paid,a134P00000Gn9wFQAR,0014P000042LTbHQAW,200387,
04/26/23,11/11/22,SDQP,Eb Empire Inc,1117120,3438689,,22008_33,$925.00 ,ACH *3010,Paid,a134P00000Gn9tQQAR,0014P000042LTbHQAW,200387,
04/26/23,11/11/22,SDQP,Eb Empire Inc,1117120,3438689,,20825_24,"$1,100.00 ",ACH *3010,Paid,a134P00000Gn9tLQAR,0014P000042LTbHQAW,200387,
04/26/23,11/11/22,SDQP,Eb Empire Inc,1117120,3438689,,22330_36,$800.00 ,ACH *3010,Paid,a134P00000Gn9srQAB,0014P000042LTbHQAW,200387,
04/26/23,11/11/22,SDQP,Eb Empire Inc,1117120,3438689,,21903_31,$715.00 ,ACH *3010,Paid,a134P00000Gn9taQAB,0014P000042LTbHQAW,200387,
04/26/23,12/05/22,SDQP,Tlm Transport LLC,842073,2441011,,3224T,$500.00 ,ACH *4638,Paid,a134P00000GnFhaQAF,0014P000046c4aUQAQ,200387,
04/26/23,12/05/22,SDQP,Tlm Transport LLC,842073,2441011,,3223T,$500.00 ,ACH *4638,Paid,a134P00000GnFhVQAV,0014P000046c4aUQAQ,200387,
04/26/23,12/06/22,SDQP,Eb Empire Inc,1117120,3438689,,23257-28,$730.00 ,ACH *3010,Paid,a134P00000GnFypQAF,0014P000042LTbHQAW,200387,
04/26/23,12/07/22,SDQP,Tlm Transport LLC,842073,2441011,,3225T,$500.00 ,ACH *4638,Paid,a134P00000GnFxXQAV,0014P000046c4aUQAQ,200387,
04/26/23,12/09/22,SDQP,Southbound Logistics LLC,1370326,3804087,,1065S,$650.00 ,ACH *1968,Paid,a134P00000GnGDtQAN,0014P000046PuBUQA0,200387,
04/26/23,12/09/22,SDQP,Southbound Logistics LLC,1370326,3804087,,1064S,$650.00 ,ACH *1968,Paid,a134P00000GnGDoQAN,0014P000046PuBUQA0,200387,
04/26/23,12/12/22,SDQP,Kem Trucking LLC,1286920,3689972,,406K,"$1,200.00 ",ACH *3487,Paid,a134P00000GnGgIQAV,0014P000043DeihQAC,200387,
04/26/23,12/13/22,SDQP,Hogan Transportation,496678,1273532,,6093H,$850.00 ,ACH *0559,Paid,a134P00000GnI1HQAV,0014P000046jBuxQAE,200387,
04/26/23,01/11/23,SDQP,Pjj Express Inc,595648,1610799,,67683P,$800.00 ,ACH *0854,Paid,a134P00000GnNX8QAN,0014P000048Y535QAC,200387,
04/26/23,01/18/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,400FAST,"$2,300.00 ",Wire *5098,Paid,a134P00000GnS8DQAV,0014P00003i1dW1QAI,200387,
04/26/23,02/08/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,421FAS,"$2,250.00 ",Wire *5098,Paid,a134P00000GnnfjQAB,0014P00003i1dW1QAI,200387,
04/26/23,02/22/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,432FAS,$900.00 ,Wire *5098,Paid,a134P00000GnsfUQAR,0014P00003i1dW1QAI,200387,
04/26/23,02/28/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,435FAS,$175.00 ,Wire *5098,Paid,a134P00000GnuTFQAZ,0014P00003i1dW1QAI,200387,
04/26/23,03/15/23,SDQP,B'S TRANSPORT SERVICES LLC,1036464,3279066,,1127B,"$1,200.00 ",ACH *2613,Paid,a134P00000GnydXQAR,0014P00004BDHLQQA5,200387,
04/26/23,03/23/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,460FAS,"$4,750.00 ",Wire *5098,Paid,a134P00000Go4T1QAJ,0014P00003i1dW1QAI,200387,
04/26/23,03/24/23,SDQP,Eb Empire Inc,1117120,3438689,,28275_12,$750.00 ,ACH *3010,Paid,a134P00000Go4TGQAZ,0014P000042LTbHQAW,200387,
04/26/23,03/24/23,SDQP,Eb Empire Inc,1117120,3438689,,28274_11,$750.00 ,ACH *3010,Paid,a134P00000Go4TBQAZ,0014P000042LTbHQAW,200387,
04/28/23,04/27/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,505FAS,"$2,100.00 ",Wire *5098,Paid,a134P00000GIy8ZQAT,0014P00003i1dW1QAI,200387,
04/27/23,04/27/23,SDQP,Unistar Intermodal & Logistics Inc.,779262,2281146,,43954U,"$1,535.00 ",ACH *2691,Paid,a134P00000GIy2kQAD,0014P00003iFhr3QAC,200387,
04/27/23,04/27/23,SDQP,Unistar Intermodal & Logistics Inc.,779262,2281146,,43952U,"$1,960.00 ",ACH *2691,Paid,a134P00000GIy2jQAD,0014P00003iFhr3QAC,200387,
04/27/23,04/27/23,SDQP,Unistar Intermodal & Logistics Inc.,779262,2281146,,43953U,"$1,960.00 ",ACH *2691,Paid,a134P00000GIy2iQAD,0014P00003iFhr3QAC,200387,
04/27/23,04/27/23,SDQP,Tendencies Carrier Logistics LLC,1218612,3594370,,1989TEN,"$3,100.00 ",ACH *7934,Paid,a134P00000GIy1jQAD,0014P00003jOjCMQA0,200387,
04/27/23,04/27/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,506FAS,$200.00 ,Wire *5098,Paid,a134P00000GIy1PQAT,0014P00003i1dW1QAI,200387,
04/27/23,04/27/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,504FAS,"$4,200.00 ",Wire *5098,Paid,a134P00000GIy1KQAT,0014P00003i1dW1QAI,200387,
04/27/23,04/27/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,503FAS,$800.00 ,Wire *5098,Paid,a134P00000GIy1FQAT,0014P00003i1dW1QAI,200387,
04/27/23,04/27/23,SDQP,Fast Shot Trucking LLC,1158343,3505211,,502FAS,"$2,100.00 ",Wire *5098,Paid,a134P00000GIy1AQAT,0014P00003i1dW1QAI,200387,
04/27/23,04/27/23,SDQP,Tendencies Carrier Logistics LLC,1218612,3594370,,2012TEN,"$3,100.00 ",ACH *7934,Paid,a134P00000GIy15QAD,0014P00003jOjCMQA0,200387,
