ExternalPayeeKey,CompanyName,MCNumber,DOTNumber,SCAC,Addr1,Addr2,City,State,PostalCode,Country,PhoneNumber,PrimaryEmail,RemitName,RemitAddr1,RemitAddr2,RemitCity,RemitState,RemitPostalCode,RemitCountry
KCSM,KCS Kansas City Southern Railway Company,,,9457,427 West 12th Street,,KANSAS CITY,MO,64105,,(816)983- 1965,sscholz@kcsouthern.com,KCS KANSAS CITY SOUTHERN R,,P.O. BOX 219335,KANSAS,MO,64121-933,
891829,"Pnw Intermodal, LLC",891829,2557329,PNWI,2714 N Loop 1604 E Ste #202,,San Antonio,TX,78232,,3602580237,jburgin@emailgenesis.com,"Pnw Intermodal, LLC",2714 N Loop 1604 E Ste #202,,San Antonio,TX,78232,
810939,Roadone Intermodalogistics,810939,2365308,RKNE,RTS Holdings LLC,P.O. BOX 347995,PITTSBURGH,PA,15251-4995,,8008726787,accountsreceivable@roadone.com,RTS Holdings LLC,P.O. BOX 347995,,Pittsburgh,PA,15251-4995,
751339,"Transnoble Logistics, Inc",751339,2162453,TNQG,33 Appletree Lane,,Pipersville,PA,18947,,2157947890,craig@transnoblelogistics.com,"TransNoble Logistics, Inc",33 Appletree Lane,,Pipersville,PA,18947,
661363,Whitacre Logistics Llc,661363,1822630,WLLJ,12602 S Dixie Highway,,PORTAGE,OH,43451-9777,,4196860055,gregs@whitacrelogistics.com,Whitacre Logistics LLC,12602 S Dixie Hwy,,Portage,OH,43451,
602362,Streamline Inc,602362,,T115,14671 COLLECTIONS CENTER,DRIVE,CHICAGO,IL,60693,,(866) 770-4939,streamlinetrux@gmail.com,STREAMLINE INC,,DRIVE,CHICAGO,IL,60693,
568118,Continuum Transportation Services Ltd,568118,1519324,COTM,PO Box 76157,,Cleveland,OH,44101-4755,,2165184000,lchamberlain@continuumtrans.com,"Continuum Transportation Services, LTD",P.O. Box 76157,,Cleveland,OH,44101-4755,
562163,Z Brothers Trucking LLC,562163,1495228,N066,7603 Clinton Rd.,,Brooklyn,OH,44144,,(216) 916-9850,zbtsales@hotmail.com,Z Brothers Trucking LLC,7603 Clinton Road,,Brooklyn,OH,44144,
53433,Union Pacific,53433,53433,12393,PO BOX 502453,,SAINT LOUIS,MO,63150-2453,,,,UNION PACIFIC,PO BOX 502453,,SAINT LOUIS,MO,63150,
476351,"Celtic Cartage, Inc.",476351,1197429,CECA,11260 Southwest Highway,,Palos Hills,IL,60465,,7089741405,customerservice@celtriccartage.com,"Celtic Cartage, Inc.",11260 Southwest Highway,,Palos Hills,IL,60465,
468507,"Universal Intermodal Services, Inc.",468507,1162977,UISA,PO BOX 714982,,CINCINNATI,OH,45271-4982,,5869200100,mboussie@goutsi.com,Universal intermodal,PO BOX 714982,,CINCINNATI,OH,45271-4982,
438912,"E-TRANSPORT CARRIERS, LLC",438912,1067244,ETCA,4500 Salisbury Road Ste 305,,JACKSONVILLE,FL,32216,,4789555056,HDF4@suntecktts.com,"E-Transport Carriers, LLC",4500 Salisbury Road Ste 305,,Jacksonville,FL,32216,
417025,(1yr not used) Norco,417025,985416,NCOC,1085 JARVIS RD,,SAGINAW,TX,76179,,8004332012,container@norcocorp.com,NORCO CORP,1085 JARVIS RD,,SAGINAW,TX,76179,
396579,"Fmx, Inc.",396579,915370,FMXO,2175 Commonwealth Avenue,,Jacksonville,FL,32209,,9045982683,hvenson@fmxtruck.com,"FMX, INC.",2175 Commonwealth Avenue,,Jacksonville,FL,32209,
371347,"Thoroughbred Direct l Services, Inc.",371347,848466,TDIS,MAIL CODE 5629,PO BOX 71209,CHARLOTTE,NC,28272,,8772502535,tdiscust@ns-direct.com,THOROUGHBRED DIRECT INTERM,,PO BOX 71209,CHARLOTTE,NC,28272,
330633,"County Wide Of Miami, Inc.",330633,717574,CYWQ,10800 Nw 103 Street Suite 11,,Medley,FL,33178,,3056856281,countywidedray@countywidemia.com,"COUNTYWIDE OF MIAMI, INC.",10800 Nw 103 Street Suite 11,,Medley,FL,33178,
278215,"Bear Cartage & Intermodal, Inc.",278215,569614,BCRG,8600 Joliet Rd,,Mccook,IL,60525,,7089249093,Dispatch@bearcartage.com,Bear Cartage,8600 Joliet Rd,,Mccook,IL,60525,
258977,"Specialized Rail Service, Incorporated",258977,506498,SPRA,120 East 700 South,,CLEARFIELD,UT,84015,,7023889277,mattp@specializedrail.com,Specialized Rail Service,120 East 700 South,,Clearfield,UT,84015,
231970,"(1yr not used) B. W. Mitchum Trucking Co., Inc.",231970,391855,21463,237 FARMINGTON ROAD,,SUMMERVILLE,SC,29486,,8438815444,Dispatch@bwmitchumtrucking.com,B W MITCHUM TRUCKING CO INC,237 FARMINGTON ROAD,,SUMMERVILLE,SC,29486,
219196,J&L Transportation Inc.,219196,,9485,P. O. Box 6325,,PHOENIX,AZ,85005-6325,,602-278-9192,MJimenez@jltrans.com,J&L Transportation Inc,P. O. Box 6325,,PHOENIX,AZ,85005,
161736,LOUP LOGISTICS COMPANY,161736,12067,10110,1416 DODGE STREET,,OMAHA,NE,68179,,,,LOUP LOGISTICS COMPANY,,,WOODBRIDGE,ON,L4L 8E3,
157824,"(1yr not used) Eagle Systems, Inc.",157824,314990,EGSY,P O Box 2177,,East Wenatchee,WA,98807-2177,,5096650319,eaglerates@eaglegroup.com,"Eagle Systems, Inc.",P O Box 2177,,East Wenatchee,WA,98807-2177,
152672,Arl,152672,186375,AIPA,PO Box 809374,,Chicago,IL,60680-9374,,4125073071,dispatch@arlnetwork.com,ARL,PO Box 809374,,Chicago,IL,60680-9374,
152658,"Hucks Piggyback Service, Inc.",152658,186668,HPSQ,1200 W. Craighead Rd.,,Charlotte,NC,28206,,704-376-3524,ada.hernandez@huckspiggyback.com,"Hucks Piggyback Service, Inc.",1200 W. Craighead Rd.,,Charlotte,NC,28206,
152494,"Csx Intermodal Terminals, Inc.",152494,185796,CSXO,550 Water Street,,Jacksonville,FL,32202,,4106136309,jennifer_green@csx.com,CSX INTERMODAL TERMINALS  INC.,,,JACKSONVILLE,FL,32202,
146769,"Transinternational System, Inc.",146769,176208,TRNJ,130 E WILSON BRIDGE RD SU,,WORTHINGTON,OH,43085,,(614) 259-1288,charlotte.james@trnj.com,TRANSINTERNATIONAL SYSTEM  INC,,,WORTHINGTON,OH,43085,
133655,"Schneider National Carriers, Inc.",133655,264184,SCDS,3101 S. Packerline Drive,,Green Bay,WI,54313,,920.592.2668,williamst@schneider.com,SCHNEIDER NATIONAL INC,,,DALLAS,TX,75284-1831,
1098356,Genesis Intermodal Services LLC,1098356,3408478,16685,2714 N Loop 1604 E Ste 202,,San Antonio,TX,78232,,2145405380,dorrick@genesisintermodal.com,Genesis Intermodal Services LLC,2714 N Loop 1604 E Ste 202,,San Antonio,TX,78232,
1092714,Grapevine Intermodal LLC,1092714,3396848,GPVM,2714 N. Loop 1604 East,Suite 101,San Antonio,TX,78232,,9098658384,madams@grapevineintermodal.com,"Grapevine Intermodal, LLC.",2714 N. Loop 1604 East,Suite 101,San Antonio,TX,78232,
059583,UNIVERSAL TRUCKLOAD INC,59583,41208,UACL,12755 E 9 Mile Rd,,Warren,MI,48089,,8002510261,dima@uaclogistics.com,Universal Truckload,PO Box 714175,,Cincinnati,OH,45271,
