Name,USDOT,Carrier MC,SCAC,MM code,,,,,,
Genesis Intermodal Services LLC,3408478,1098356,16685,GENINTSERTX1,,,,,,
"B. W. Mitchum Trucking Co., Inc.",391855,231970,21463,BWMITSC1,,,,,,
Kansas City Southern Railway Company,378038,,9457,KANCITSOUMO1,,,,,,
J&L Transportation Inc. ,309685,219196,9485,JLTRAAZ1,,,,,,
Arl,186375,152672,AIPA,ARLPA1,,,,,,
"Bear Cartage & Intermodal, Inc.",569614,278215,BCRG,BEACARIL1,,,,,,
"Celtic Cartage, Inc.",1197429,476351,CECA,CELCARIL1,,,,,,
Continuum Transportation Services Ltd,1519324,568118,COTM,CONTRASEROH1,,,,,,
"County Wide Of Miami, Inc.",717574,330633,CYWQ,COUWIDOFFL1,,,,,,
"Eagle Systems, Inc.",314990,157824,EGSY,EAGSYSWA1,,,,,,
"E-Transport Carriers, Llc",1067244,438912,ETCA,ETRCARFL1,,,,,,
"Fmx, Inc.",915370,396579,FMXO,FMXFL1,,,,,,
Grapevine Intermodal Llc,3396848,1092714,GPVM,GRAINTTX1,,,,,,
"Hucks Piggyback Service, Inc.",186668,152658,HPSQ,HUCPIGSERNC1,,,,,,
Z Brothers Trucking Llc,1495228,562163,N066,ZBROTRUOH1,,,,,,
Norco,985416,417025,NCOC,NORCOTX1,,,,,,
"Pnw Intermodal, LLC",2557329,891829,PNWI,PNWINTTX1,,,,,,
Roadone Intermodalogistics,2365308,810939,RKNE,ROAINTMA1,,,,,,
"Schneider National Carriers, Inc.",264184,133655,SCDS,SCHNATCARWI1,,,,,,
"Specialized Rail Service, Incorporated",506498,258977,SPRA,SPERAISERUT1,,,,,,
Streamline Inc,2239125,602362,T115,STREAMLINE1,,,,,,
"Thoroughbred Direct L Services, Inc.",848466,371347,TDIS,THODIRLNC1,,,,,,
"Transnoble Logistics, Inc",2162453,751339,TNQG,TRALOGPA1,,,,,,
"Transinternational System, Inc.",176208,146769,TRNJ,TRASYSOH1,,,,,,
Universal Truckload Inc,41208,59583,UACL,UNITRUOH1,,,,,,
"Universal Intermodal Services, Inc.",1162977,468507,UISA,UNIINTSERMI1,,,,,,
Whitacre Logistics LLC,1822630,661363,WLLJ,WHILOGOH1,,,,,,
LOUP Logistics Company,12067,161736,10110,LOULOGCOMNE1,,,,,,
Union Pacific,53433,53433,12393,UNIPACMO1,,,,,,
"CSX Intermodal Terminals, Inc.",185796,152494,CSXO,CSXINTTEFL1,,,,,,
